date,other,ba2,ba4,ba5
2021-01-01,100,0,0,0
2021-01-02,100,0,0,0
2021-01-03,100,0,0,0
2021-01-04,100,0,0,0
2021-01-05,100,0,0,0
2021-01-06,100,0,0,0
2021-01-07,100,0,0,0
2021-01-08,100,0,0,0
2021-01-09,100,0,0,0
2021-01-10,100,0,0,0
2021-01-11,100,0,0,0
2021-01-12,100,0,0,0
2021-01-13,100,0,0,0
2021-01-14,100,0,0,0
2021-01-15,100,0,0,0
2021-01-16,100,0,0,0
2021-01-17,100,0,0,0
2021-01-18,100,0,0,0
2021-01-19,100,0,0,0
2021-01-20,100,0,0,0
2021-01-21,100,0,0,0
2021-01-22,100,0,0,0
2021-01-23,100,0,0,0
2021-01-24,100,0,0,0
2021-01-25,100,0,0,0
2021-01-26,100,0,0,0
2021-01-27,100,0,0,0
2021-01-28,100,0,0,0
2021-01-29,100,0,0,0
2021-01-30,100,0,0,0
2021-01-31,100,0,0,0
2021-02-01,100,0,0,0
2021-02-02,100,0,0,0
2021-02-03,100,0,0,0
2021-02-04,100,0,0,0
2021-02-05,100,0,0,0
2021-02-06,100,0,0,0
2021-02-07,100,0,0,0
2021-02-08,100,0,0,0
2021-02-09,100,0,0,0
2021-02-10,100,0,0,0
2021-02-11,100,0,0,0
2021-02-12,100,0,0,0
2021-02-13,100,0,0,0
2021-02-14,100,0,0,0
2021-02-15,100,0,0,0
2021-02-16,100,0,0,0
2021-02-17,100,0,0,0
2021-02-18,100,0,0,0
2021-02-19,100,0,0,0
2021-02-20,100,0,0,0
2021-02-21,100,0,0,0
2021-02-22,100,0,0,0
2021-02-23,100,0,0,0
2021-02-24,100,0,0,0
2021-02-25,100,0,0,0
2021-02-26,100,0,0,0
2021-02-27,100,0,0,0
2021-02-28,100,0,0,0
2021-03-01,100,0,0,0
2021-03-02,100,0,0,0
2021-03-03,100,0,0,0
2021-03-04,100,0,0,0
2021-03-05,100,0,0,0
2021-03-06,100,0,0,0
2021-03-07,100,0,0,0
2021-03-08,100,0,0,0
2021-03-09,100,0,0,0
2021-03-10,100,0,0,0
2021-03-11,100,0,0,0
2021-03-12,100,0,0,0
2021-03-13,100,0,0,0
2021-03-14,100,0,0,0
2021-03-15,100,0,0,0
2021-03-16,100,0,0,0
2021-03-17,100,0,0,0
2021-03-18,100,0,0,0
2021-03-19,100,0,0,0
2021-03-20,100,0,0,0
2021-03-21,100,0,0,0
2021-03-22,100,0,0,0
2021-03-23,100,0,0,0
2021-03-24,100,0,0,0
2021-03-25,100,0,0,0
2021-03-26,100,0,0,0
2021-03-27,100,0,0,0
2021-03-28,100,0,0,0
2021-03-29,100,0,0,0
2021-03-30,100,0,0,0
2021-03-31,100,0,0,0
2021-04-01,100,0,0,0
2021-04-02,100,0,0,0
2021-04-03,100,0,0,0
2021-04-04,100,0,0,0
2021-04-05,100,0,0,0
2021-04-06,100,0,0,0
2021-04-07,100,0,0,0
2021-04-08,100,0,0,0
2021-04-09,100,0,0,0
2021-04-10,100,0,0,0
2021-04-11,100,0,0,0
2021-04-12,100,0,0,0
2021-04-13,100,0,0,0
2021-04-14,100,0,0,0
2021-04-15,100,0,0,0
2021-04-16,100,0,0,0
2021-04-17,100,0,0,0
2021-04-18,100,0,0,0
2021-04-19,100,0,0,0
2021-04-20,100,0,0,0
2021-04-21,100,0,0,0
2021-04-22,99.9973052359266,0.0026947640734053735,0,0
2021-04-23,99.99724092263548,0.0027590773645293017,0,0
2021-04-24,99.99716802129649,0.0028319787035201494,0,0
2021-04-25,99.99716432723665,0.002835672763363108,0,0
2021-04-26,99.99714709574347,0.0028529042565331505,0,0
2021-04-27,99.99714750263855,0.0028524973614399408,0,0
2021-04-28,99.99714677014381,0.0028532298561972152,0,0
2021-04-29,100,0,0,0
2021-04-30,100,0,0,0
2021-05-01,100,0,0,0
2021-05-02,100,0,0,0
2021-05-03,100,0,0,0
2021-05-04,100,0,0,0
2021-05-05,100,0,0,0
2021-05-06,100,0,0,0
2021-05-07,100,0,0,0
2021-05-08,100,0,0,0
2021-05-09,100,0,0,0
2021-05-10,100,0,0,0
